沙门氏菌病	食物中毒
曲菌病	机遇性感染
高脚杯	玻璃杯
还原剂	化学试剂
艾司唑仑	苯并二嗪
能力	认知
曲棍球	球
防弹衣	装甲
输精管精囊炎	炎症
灯塔	楼阁
职业	行业
鼓式制动器	液力制动器
岩鱼	鲉科鱼
蓝鼠尾草	鼠尾草属植物
支援	援助
近视眼	屈光不正
潜没	地质活动
行为者	灵魂
袄代	衣着
心房颤动	心律失常
心房颤动	纤维性颤动
同配生殖	有性繁殖
自由保有地产	租地制度
巴拉塔树胶	树
起重机	起重机
中间	时间点
倭犰狳	犰狳
试镜头	试镜
键	杠杆
电车	车
大红芒毛苣苔	附着植物
纸牌	纸
子图形	几何图形
狭叶泽泻	泽泻
小钩	钩子
学术自由	自由
肚子痛	胃肠炎
橙木	木材
一夫制	结婚生活
联谊会会堂	房屋
沉积	增长
背景	观点
失物招领栏	贮藏室
苦苣苔属	海盘车单子叶植物属
克珀斯陶瓶	罐子
浮船坞	干船坞
旋转	转动
全脑炎	脑炎
黑鲸	海豚
立体交叉	行人穿越道
蓬蒿菊	海盘车单子叶植物属
多发性硬化症	一种变性疾病
多发性硬化症	自身免疫病
多发性硬化症	硬化
方寸	面积单位
钝角	倾斜角
脱离常轨者	异常的人
溶剂化物	化合物
浴缸	容器
棉球病	植物病
红外热灯	电热器
神经性皮炎	皮肤炎
绞窄	病理状态
链球菌咽痛	咽炎
链球菌咽痛	感染
议员	代表
错位咬合	病理状态
帽贝属	软体动物属
茶巾	毛巾
游船	班轮
细目	部件
香鱼科之小鱼	香鱼
赛	赛
便士	小型货币单位
关节积水	炎症
羊毛脂	面霜
计算机地址	编码
本生灯	煤气喷嘴
竖琴状叶	单叶
宽轨距	铁道
丘鹬	鸟鹬
酸橙	柑橘属果树
美沙吡林	抗组胺剂
溢血	出血
溢血	流出
染毛剂	染色剂
亚麻锈病菌	锈菌
外生骨疣	扩散
棉鼠	臼齿动物
缓冲液	化合物
太平洋磷虾	磷虾
文字信息处理	数据处理
资本成本	机会成本
授花粉器昆虫	虫子
子宫周围炎	炎症
轮环生体	螺纹
电离箱	仪表
事宜	生意
火车机头	火车头
扼流线圈	线圈
水蝽	水蝽
病理状态	生理状态
棉小鼠	林鼠
审计者	会计师
斑疹伤寒	立克次氏体病
自秽恐怖	单纯恐怖症
鼻涕虫	腹足纲软体动物
收方	清算账目
绿藻类寄生虫	菌类
交易所	职场
后悬垂	吊环运动
恐怖分子	激进分子
梭子蟹科	节肢动物科
失调	失调
裸子植物	树
竞技场	露天体育场
丢脸	辱
掺杂	污染
包厢	隔间
公关活动	广告活动
糖荚豌豆	麻累
钐	金属元素
点滴	无穷小量
财富	集合
谷氨酸盐	胺酸
资助	股份
海象	粗毛海豹
耶诞节前夕	节日
叶属	节肢动物属
斑鼯猴	猫猴
碱性铁	生铁
属修道院教堂	礼拜堂
脱水	萃取
动脉内膜炎	炎症
广告美术	艺术品
法院大楼	库房
薄荷属	海盘车单子叶植物属
原材料	物资
钕	金属元素
玩具房子	玩具
水土流失	冲失
灰光柄菇	伞菌
柱体	立方体
菜豆象	种子象
戏剧演出季	季节
中暑	虚脱
千手丝兰	软叶丝兰
枪支管理	调节
温度梯度	梯度
欧洲化	同化作用
桃树	果树
丹尼尔	硬币
俄国羔皮	皮
鼠科动物	臼齿动物
速动资产	资产
赔偿损失费	退还金
瓦特时	能量单位
湿度计	仪表
分套购置的公寓	房屋
胜利	成功
胜利	结束
汽车贷款	消费贷款
原始粒细胞性白血病	白血病
鲱鱼类	食用鱼类
鲱鱼类	鲱科鱼
排列	排列
反应形成	防御机制
被怀疑	敌视
耳机	电声传感器
不锈钢	合金钢
鲳	鲈形亚目鱼
弹簧	弹性装置
香莓	龙船泡
救生带	救生用具
马铃薯茎叶	藤本植物
类胡萝卜素	颜料
类胡萝卜素	阻氧化剂
飞机棚	结构
雪白罗汉松	灌木
防空准备	警戒状态
分电器凸轮	凸轮
合伙契约	合约
计算机电路	电路
达姆弹	枪弹
轰隆声	噪音
大瘟热	动物病
薄组织	植物组织
起重吊钩	抓钩
充气	膨胀
闸板	板材
工具箱	框子
消除剂	溶剂
支架	支撑
饭馆	更常指大而气派的建筑
竹荚鱼	竹荚鱼
化学实验室	科研室
弯曲	弯曲的
黑檀	木材
闪石	矿质
半字节	电脑记忆单位
觉醒	生理状态
氯乙烷	局部麻醉剂
清白	状态
钻石婚纪念	周年纪念
咽炎	盆腔炎性疾病
价格回降	降低
软毛老鹳草	龙牛儿苗
马铃薯块茎蛾	毛虫
大写字母	字形
工资等级	数值范围
开办费	营业费
通货膨胀率	率
新闻简报	报道
乙肝	肝炎
百货商店	零售店
蛇的咬伤	伤口
双筒显微镜	光学显微镜
显示板	显示器
邻苯二甲酸酐	酸酐
十亿	十亿
蝗科	节肢动物科
门的铰链	铰链
以太网络线	同轴电缆
头巾	头巾
淡水螯虾	小龙虾
讲台	站台
棉布长夹克	短上衣
状况	状态
生长物	草木
胶画颜料	颜料
紫苏属	海盘车单子叶植物属
老师	学会会员
产婆蟾属	两栖类
招手瓶子草	瓶子草类
逻辑运算	运转
平局	相等的状态
肺炎	炎症
震音	颤抖
大艇	船
面包酵母	酵母菌
胆固醇	甾醇
动物幻视	视幻觉
低级舞厅	夜总会
鱼粉	有机肥料
垂体性幼稚病	幼稚症
抵押	担保物权
混合物	材料
全身麻醉	麻醉剂
秘鲁苦蘵	酸浆属植物
鲂鱼	鲉鱼
卫生保健	卫生
麻疯病院	医院
离解	化学方法
花金龟属	节肢动物属
闹钟	钟
小跑步的马	赛马
发光二极管	半导体二极管
新装	衣服
雄山羊	羊
二月	公历月
贫血症	症状
颌缘牙	野兽
企鹅目海鸟	海鸟
核盘菌	菌类
眼影粉	化妆品
双金属片	电力设备
配位化合物	化合物
树蟋	蟋蟀
网蝽	盲蝽
显像管	阴极射线管
白化病者	异常的人
危险	威胁
双重赔偿	赔偿金
案卷	证券
贮水池	湖泊
货币供应量2	货币供给
球蚜属	节肢动物属
天然怪岩柱	柱形
蓝瓶花	风信子
阴暗	坏天气
蚁狮	幼虫
图库	计算机制图
大蚊	双翅目昆虫
小酒瓶	细颈瓶
有毒棋盘花	棋盘花属植物
蚜	蚜虫
无臂	反常
南美貘	貘
茶藨子	醋栗
分析器	仪表
浮雕	雕刻艺术
腺炎	炎症
两性霉素	抗菌素
槲蕨	蕨属
场所精神	气氛
阿拉斯加人	美国人
门静脉高压	恶性高血压
有爪科	节肢动物科
硬鳞层	分泌物
幻觉	视幻觉
生活费津贴	调整
马可-波罗羊	野羊
次氯酸钠	次氯酸盐
次氯酸钠	消毒剂
次氯酸钠	漂白剂
铜凹版印刷品	拓印
吸盘	器官
票房	办公室
冰库	库房
桃花心木	树
丘疹	疙瘩
里斯冰期	冰蚀
营养不良症	营养失调
八角鱼	八角鱼
开沟铲	手铲
命名性失语	失语症
绵火药	硝化纤维素
应用心理学	心理学
怀孕	生理状态
嫩芽	芽
解胶	化学方法
水狗	猎狗
排泄	撒尿
汽车镜	镜子
显示器	电子器件
青菜	新鲜蔬菜
裙撑	骨架
贝壳花属	海盘车单子叶植物属
骗局	诈骗行为
离心泵	泵
菩萨豆	大戟属植物
优先处理	数据处理
菊花轮打印机	串行打印机
静脉炎	炎症
槌	槌
重铬酸盐	盐
饮水机	人造喷泉
异配生植	无配生殖
酶原	有机化合物
鹅莓	灌木
火车费用	运费
火锅	烹饪用具
适当的报酬	报酬
很多	无穷大量
美洲似银汉鱼	银河鱼
汽油机	内燃机
毛滴虫病	原生性感染
虹鲈	海鲫
膝盖积水	关节积水
母狗	犬科动物
电钟	钟
麦氏震级	数值范围
膨胀	突出部分
血崩症	出血
同种抗体	抗体物质
主从关系	语法关系
美洲赤狗	猎狗
高速公路	大道
鼬獾	獾
短尾猿	狭鼻类的猿
饷金名单	登记表
痉挛性步行不能	步行不能
管理储备金	秘密盈余
冲溃处	沟
斑点刺河鲀	刺鲀
盾蚧科	节肢动物科
三便士	硬币
松叶蕨科	蕨类植物
干湿球湿度表	湿度计
英国重量单位	金衡制单位
躁郁症	情感障碍
海茄苳科	海盘车单子叶植物科
落叶	生物进程
牙鳕	鲈形亚目鱼
分割	划分
等待时间	间隙
六角星形	星章
连贯的整体	附着
仙女木	矮灌木
股息	纯利润
爆炸物	化学药品
大西洋蓝枪鱼	马林鱼
国内税收	税收
羽管键琴	键盘弦乐器
火柴	点火器
多孔菌	担子菌
六角形	多边形
正切面	平面
蕨萁	阴地蕨属植物
滴水圈	环状物
缩瞳症	流行病
需求	经济过程
马鞭鼠尾草	鼠尾草属植物
无乳	生理状态
长射程大炮	加农炮
狂喜	得意洋洋
巨树李	李树
行李舱	隔间
四便士	硬币
烦恼	虐待
杆	支撑
广播网	通信设备
秘鲁货币单位	货币单位
光年	天文单位
推理	解释
瓶子草	瓶子草类
键孔锯	手锯
藏书室	贮藏室
环状物	超环面体
维持点	价钱
门毯	门口地垫
矿脂	胶状物
矿脂	混合物
鸟足状叶	掌状叶
主桅支索	前桅支索
冷却方法	机械装置
赃物	赃物
甘露地衣	茶渍属地衣
腺病	病理状态
人心果树	果树
西部高地白㹴	狗的一种
隐尾蜚蠊属	节肢动物属
北美野兔	野兔
应付账款	负债
经度15°	差角
击球位置	专席
载货甲板	围墙
口蹄病	动物病
不可能的事物	不存在
鳞毛蕨属	蕨属
滚转印刷机	印刷机
贝壳碟	碟子
反催化剂	阻化剂
吸附剂	物资
分期付款	报酬
氟尿苷	抗肿瘤药
肾上腺切除术	切除
局部麻醉剂	麻醉剂
阉羊	绵羊
钮扣钩	钩子
包虫病	侵染
版画工艺	艺术品
短剑	短剑
色性干皮病	皮肤干燥病
待修房	住所
钢件结构玩具	玩具
一触即发	危险
斗争	军事行动
音节的区分	划分
运钞车	装甲车辆
铝玻璃	玻璃
文明社会	社会团体
古代	时期
盆腔炎性疾病	盆腔炎性疾病
发夹	扣钩
长老	修道院院长
笼	被约束
露天泳池甲板	甲板
阶层的划分	状况
前奔性癫痫	癫痫症
石室坟墓	坟墓
二级烧伤	烧伤
砍痕	损害
混凝土	混凝土
巨型蟑螂属	节肢动物属
小麦瘿蚊	瘿蚊
紫斑病	血液病
柄	附属物
数字电压表	电子电压表
苹果车	手推车
发痒黧豆	豆荚
制冰机	电冰箱
砂轮	轮子
山酸模	野菠菜
斑长脚鹬	澳洲长脚鹬
竞选运动	运动计划
阿比西尼亚猫	家猫
粉虱属	节肢动物属
德国小蠊	蟑螂
梭鱼类	棘鳍目鱼
阿门角	隅
发音困难	语言失序
每小时公里	率
全套设备	集合
Ω3脂肪酸	多不饱和脂肪酸
平滑肌肉瘤	肉瘤
马嚼子	马嚼子
毫克	公制重量单位
缺额	款项
捏伤	负伤
坏血病	维生素缺乏症
镅	金属元素
复职	状态
狗鱼	鲹
桥墩	支撑
大菱鲆	牙鲆
麦基诺厚大衣	短上衣
自我	知觉
认识不能	脑病
蓝盆花属	海盘车单子叶植物属
瑞士褐牛	奶牛
纳税义务	责任
滤过液	滤液
亚美尼亚人	亚洲人
金熊猴	狐猴
手持工具	工具
火焰草属	海盘车单子叶植物属
全金属外壳	枪弹
紧身短马甲	短上衣
木乃伊化	坏疽
浮动蕨类植物	满江红
国库	资金
缺乏	空虚
消费者信贷	银行授信额度
天幕毛虫	枯叶蛾
腹带	紧固件
埃及磅	埃及货币单位
低血糖	症状
硬衬布	衣料
嘌呤	碱
感觉减退	障碍
神经性听力丧失	听力损伤
代谢性碱中毒	碱中毒
装载物	货物
花金龟科	节肢动物科
芬兰货币单位	货币单位
金雀儿	黄雀花
葡萄胎	反常
里亚尔	伊朗货币单位
难治性贫血	贫血症
飞行姿态	定向
议程	单子
金鱼草属	海盘车单子叶植物属
分散	社会进程
钙化	硬化
乌贼属	软体动物属
失血性休克	休克
词首脱落	省略
长鳍金枪鱼	鲔鱼
福尔马林	溶液
聚结	集合
黑花槐樹	紫穗槐
虾	十足类
翼面	装置
头孢哌酮	头孢霉菌素
克罗克电锅	炊具
锅炉煤	煤炭
蜘蛛网	小纤维
氡	惰性气体
氡	化学元素
飞伸三角帆	船首三角帆
可想象	可能性
传染性软疣	软疣
吵闹	骚乱
午后	白昼
高脚柜	衣柜
抵押金	转让了的财物
黑麦麦角菌	麦角菌
非淋菌性尿道炎	尿道炎
营养缺乏病	症
整洁	整齐
凝结	自然过程
年鉴	年刊
睾酮	雄激素
布尔得利亚	狗的一种
玉筋鱼	棘鳍目鱼
摄政统治时期	统治期
波纹织物	衣料
黄蜂	节肢动物属
洗提	萃取
无影无踪	不存在
森林天幕毛虫	黄褐天幕毛虫
克拉	公制重量单位
线性运算符	运算符号
袜眼鲑	鲑鱼
褐棕鮰	美洲鲇鱼
片簧	弹簧
黄花楸	角豆树
藏菖蒲	棕榈科植物
乌货币单位	货币单位
三角启子	开罐头刀
异山梨醇	药物
鸽尾结合	镶榫接头
联盟	联盟
专利药	麻醉药
蔓藤花纹	装饰品
天然的状态	天然
血管瘤	肿瘤
血管瘤	血管疾病
循环小数	小数
空中掩护	保护
船舱	隔间
财务经纪费	费
自然语言	语言
结构图	图解
东方盘羊	野羊
再生	生物进程
铁工厂	职场
水溶液	溶液
疑病症	焦虑
耳液溢	病理
军事设施	设施
弯曲的	改变形状
运马拖车	传送器
金龟子	蜣螂
天花	皮疹
阿狄森氏瘢痕瘤	硬皮病
房顶	屋顶
鲸油	动物油
无把握的事情	危险
罗缎	衣料
黑猩猩	猩猩科类人猿
晚上	阶段
轨道	道路
运动场馆	体育设施
运动性失写	脑病
存帐室	办公室
委托关系	法律关系
弓箭	武装
人寿保险	保险
盟友	合伙人
鸟蛤	鸟蛤
获得物	转让了的财物
翻筋斗	体操运动
警戒	觉醒
圆锥投影	地图投影
活埋恐怖	单纯恐怖症
第二十	排列
书报摊	店铺
复叶	叶子
君王的身分	排列
刀刃	刀片
显著	权势
能人	人类
鹰爪豆	黄雀花
彭布鲁克小狗	威尔士矮脚狗
袜带	箍
肉茎	扩散
里亚尔	也门货币单位
包围或环绕	包括
薄浆	石膏
浴巾	浴室亚麻布
浴巾	毛巾
通讯	连结
虱子	虱子
衰减	减少
拓印	版画工艺
纵横比	比例
销魂迷幻药	摇头丸
巩膜表层炎	炎症
钩蛱蝶属	节肢动物属
濯足节	基督教会节日
赦罪	慈悲
血清白蛋白	白蛋白
凸角	角
独立自主	自治
蜣螂	金龟子科甲虫
护面甲	钢板
十字头	硬块
甘薯粉虱	粉虱
金箔	金箔
金盖环锈伞	伞菌
增毒作用	协同效应
膨胀	增大
麻醉	生理状态
锈孢子器	子实体
生产	生产
黄金鸡纳树皮	黄金鸡纳树
变色旅鼠	旅鼠
医药费	支出额
发色团	化学族
二十二碳六烯酸	Ω3脂肪酸
薄缘	边缘
片吸虫病	侵染
分离担子	植物器官
少量	无穷小量
拔钉斧	短柄斧
态度	认知
精子减少	生理状态
第四十	排列
直接税	税金
青兰属	海盘车单子叶植物属
雷琐酚	酚
意志缺失	心理状态
第五十	排列
种子储备	贮藏
喀麦隆法郎	法郎
木质部	维管组织
炉甘石液	洗剂
胰酶	析取液
险弯	曲线
外交邮袋	邮袋
独眼畸形	反常
双花六道木	灌木
战壕热	立克次氏体病
商业承兑汇票	汇票
深层瘤	癌
贝	声学计量单位
肉赘	膨胀
橡树	树
乙酰甲胆碱	药物
欣快	得意洋洋
艰难局面	困难境地
貉藻	食虫植物
蓄电池	电力设备
美槲寄生	寄生植物
二叶唢呐草	唢呐草
转帆索	绳子
游螺属	蜒螺
资料排架	运转
挫伤	负伤
定点数	数
幼鳕	鳕鱼
基础设施	贮藏
对立面	对立
球门口	场地
雇佣者	首领
除去	消除
运行时间	经营时期
寄生	相关
高敏性反应	过敏症
牛铃	钟
挪威猎狗	猎狗
逸话	集合
美洲花椒	花椒
平衡	状态
居住区	领地
木材	植物组织
公物	资产
蒸汽	蒸气
瓣蹼鹬	矶鹞之类
绳梯	阶梯
肺尘症	呼吸疾病
水獚	西班牙猎犬
黄蔓	藤本植物
小型咖啡杯	咖啡杯
生命征兆	病征
尼克脑病	脑病
钙	金属元素
游乐场	有拱廊的街道
丛猴	狐猴
吸收障碍	消化
需要	东西
母羊	绵羊
物资	物质
萃取	自然过程
褐色颜料	颜料
生理缺陷	畸形
生理缺陷	缺陷
长鼻猴	狭鼻类的猿
红灌木	灌木
硬脂酸甘油	甘油酯
神所掌控的	范围
类别	一套
胎蛋白	抗原
嗅觉障碍	病理状态
发射物	物资
巴西苏木	树
粉末摄影	照相
瘟疫	流行病
烧焦物	碳
巨大症	肥大
后座	后座
快感缺乏	心理状态
绿色盲	红绿色盲
对开蕨属	蕨属
北方鼯鼠	美洲飞鼠属
品脱	美国液体单位
螺旋起重机	起重机
鸡虱属	节肢动物属
赭鹿花菌	鹿花蕈
神经纤维瘤	肿瘤
隆背岩蟹	蟹
消遣	消遣
马加木	马加木
康氏粉蚧	粉蚧
拉塞福	放射性单位
炮支架	炮架
扇形	平面图形
刀锋	边缘
根腐烂	植物病
散黑粉菌	黑粉病
痉挛性膀胱	膀胱疾病
肿瘤坏死因子	细胞因子
茶	饮料
秧鸡的一种	秧鸡
鸭雄青	假山萝属植物
性需求	驱策力
海百合属	棘皮动物属
路基	基础
八腕科	软体动物科
衰变	衰变
赃物	转让了的财物
眼眉	毛发
苍蝇属	节肢动物属
钝口螈科	两栖科
行李传送带	运送者
喉盘鱼	鲈形亚目鱼
合趾猴	小长臂猿
当局	灵魂
意见分歧	纠纷
两层出价	购并出价
雷氏症候群	脑病
雷氏症候群	综合症
储蓄存折	储蓄账户
行走残疾	障碍
螺丝帽	螺钉
抗凝血剂	药物
背甲属	节肢动物属
胸像	雕塑
菱镁矿	矿质
贷方分录	账目
硫化铁矿	硫化物
樟脑丸	球状物
生根	生长
牛粪肥	肥料
无面值股票	股票
狐蝠	蝙蝠
白橙盖鹅膏菌	伞菌
莺蛤科	软体动物科
黄蜂	黄蜂
板英尺	容积单位
经济分析家	能手
厘升	公制容量单位
活动空间	活动空间
半身肖像	面部画
起电盘	静电起电机
粉煤	碎石
南美刺桐	龙牙花
法官服	礼服
排列	身份
自动式倾卸汽车	货车
东方	基本四个方向
黑脚信天翁	信天翁
栓塞	闭塞
红蝽属	节肢动物属
β衰变	衰变
之字形	角形
三期梅毒	梅毒
被子器	子囊果
加局比赛	超时
膀胱积血	囊肿
联盟	州
海象	海象
配对防守	配对
钱	财物
钝叶	单叶
热污染	污染
失调	病理状态
摩根菇	环柄菇
评判委员会	调查团
烹饪锅	烹饪用具
钟楼	钟楼
长沙发椅	坐椅
埃及猫	家猫
爆发点	重压
块	中国货币单位
球窝接头	接合处
短上衣	短上衣
无脑畸形	生理缺陷
单位	定量
斑点花	喜林草属植物
虹膜炎	炎症
一种核盘菌	核盘菌
废物箱	箱子
量筒	量筒
指数化	调节
波尼松龙	消炎药
波尼松龙	糖皮质激素
牛皮	皮革
花床	苗床
疑云	被怀疑
粉盒	框子
污染恐怖	单纯恐怖症
范围	领域
美国葡萄	葡萄藤
叭儿狗	狗
猎物	野兽
可待因	镇咳药剂
可待因	镇痛药
储肉室	库房
钢笔	钢笔
枳橙	柑橘属果树
爱尔兰水猎犬	水獚
白痴病	甲减
白蜡蚧	介壳虫
魨	愈颌目
半薪	薪金
琶音	弦
檐槽	沟渠
结核节	机能障碍
先天性无肢畸形	生理缺陷
鼠海豚	海豚
轻石	聚合体
阴道炎	炎症
